   Compiling ../../adder_test.cpp in debug mode
   Compiling ../../adder.cpp in debug mode
   Generating csim.exe
Expected 11622, got 11622
Expected 11638, got 11638
Expected 11654, got 11654
Expected 11670, got 11670
Expected 11686, got 11686
Expected 11702, got 11702
Expected 11718, got 11718
Expected 11734, got 11734
Expected 11750, got 11750
Expected 11766, got 11766
Expected 11782, got 11782
Expected 11798, got 11798
Expected 11814, got 11814
Expected 11830, got 11830
Expected 11846, got 11846
Expected 11862, got 11862
Expected 11878, got 11878
Expected 11894, got 11894
Expected 11910, got 11910
Expected 11926, got 11926
Expected 11942, got 11942
Expected 11958, got 11958
Expected 11974, got 11974
Expected 11990, got 11990
Expected 12006, got 12006
Expected 12022, got 12022
Expected 12038, got 12038
Expected 12054, got 12054
Expected 12070, got 12070
Expected 12086, got 12086
Expected 12102, got 12102
Expected 12118, got 12118
Expected 12134, got 12134
Expected 12150, got 12150
Expected 12166, got 12166
Expected 12182, got 12182
Expected 12198, got 12198
Expected 12214, got 12214
Expected 12230, got 12230
Expected 12246, got 12246
Expected 12262, got 12262
Expected 12278, got 12278
Expected 12294, got 12294
Expected 12310, got 12310
Expected 12326, got 12326
Expected 12342, got 12342
Expected 12358, got 12358
Expected 12374, got 12374
Expected 12390, got 12390
Expected 12406, got 12406
Expected 12422, got 12422
Expected 12438, got 12438
Expected 12454, got 12454
Expected 12470, got 12470
Expected 12486, got 12486
Expected 12502, got 12502
Expected 12518, got 12518
Expected 12534, got 12534
Expected 12550, got 12550
Expected 12566, got 12566
Expected 12582, got 12582
Expected 12598, got 12598
Expected 12614, got 12614
Expected 12630, got 12630
Expected 12646, got 12646
Expected 12662, got 12662
Expected 12678, got 12678
Expected 12694, got 12694
Expected 12710, got 12710
Expected 12726, got 12726
Expected 12742, got 12742
Expected 12758, got 12758
Expected 12774, got 12774
Expected 12790, got 12790
Expected 12806, got 12806
Expected 12822, got 12822
Expected 12838, got 12838
Expected 12854, got 12854
Expected 12870, got 12870
Expected 12886, got 12886
Expected 12902, got 12902
Expected 12918, got 12918
Expected 12934, got 12934
Expected 12950, got 12950
Expected 12966, got 12966
Expected 12982, got 12982
Expected 12998, got 12998
Expected 13014, got 13014
Expected 13030, got 13030
Expected 13046, got 13046
Expected 13062, got 13062
Expected 13078, got 13078
Expected 13094, got 13094
Expected 13110, got 13110
Expected 13126, got 13126
Expected 13142, got 13142
Expected 13158, got 13158
Expected 13174, got 13174
Expected 13190, got 13190
Expected 13206, got 13206
Expected 13222, got 13222
Expected 13238, got 13238
Expected 13254, got 13254
Expected 13270, got 13270
Expected 13286, got 13286
Expected 13302, got 13302
Expected 13318, got 13318
Expected 13334, got 13334
Expected 13350, got 13350
Expected 13366, got 13366
Expected 13382, got 13382
Expected 13398, got 13398
Expected 13414, got 13414
Expected 13430, got 13430
Expected 13446, got 13446
Expected 13462, got 13462
Expected 13478, got 13478
Expected 13494, got 13494
Expected 13510, got 13510
Expected 13526, got 13526
Expected 13542, got 13542
Expected 13558, got 13558
Expected 13574, got 13574
Expected 13590, got 13590
Expected 13606, got 13606
Expected 13622, got 13622
Expected 13638, got 13638
Expected 13654, got 13654
Expected 13670, got 13670
Expected 13686, got 13686
Expected 13702, got 13702
Expected 13718, got 13718
Expected 13734, got 13734
Expected 13750, got 13750
Expected 13766, got 13766
Expected 13782, got 13782
Expected 13798, got 13798
Expected 13814, got 13814
Expected 13830, got 13830
Expected 13846, got 13846
Expected 13862, got 13862
Expected 13878, got 13878
Expected 13894, got 13894
Expected 13910, got 13910
Expected 13926, got 13926
Expected 13942, got 13942
Expected 13958, got 13958
Expected 13974, got 13974
Expected 13990, got 13990
Expected 14006, got 14006
Expected 14022, got 14022
Expected 14038, got 14038
Expected 14054, got 14054
Expected 14070, got 14070
Expected 14086, got 14086
Expected 14102, got 14102
Expected 14118, got 14118
Expected 14134, got 14134
Expected 14150, got 14150
Expected 14166, got 14166
Expected 14182, got 14182
Expected 14198, got 14198
Expected 14214, got 14214
Expected 14230, got 14230
Expected 14246, got 14246
Expected 14262, got 14262
Expected 14278, got 14278
Expected 14294, got 14294
Expected 14310, got 14310
Expected 14326, got 14326
Expected 14342, got 14342
Expected 14358, got 14358
Expected 14374, got 14374
Expected 14390, got 14390
Expected 14406, got 14406
Expected 14422, got 14422
Expected 14438, got 14438
Expected 14454, got 14454
Expected 14470, got 14470
Expected 14486, got 14486
Expected 14502, got 14502
Expected 14518, got 14518
Expected 14534, got 14534
Expected 14550, got 14550
Expected 14566, got 14566
Expected 14582, got 14582
Expected 14598, got 14598
Expected 14614, got 14614
Expected 14630, got 14630
Expected 14646, got 14646
Expected 14662, got 14662
Expected 14678, got 14678
Expected 14694, got 14694
Expected 14710, got 14710
Expected 14726, got 14726
Expected 14742, got 14742
Expected 14758, got 14758
Expected 14774, got 14774
Expected 14790, got 14790
Expected 14806, got 14806
Expected 14822, got 14822
Expected 14838, got 14838
Expected 14854, got 14854
Expected 14870, got 14870
Expected 14886, got 14886
Expected 14902, got 14902
Expected 14918, got 14918
Expected 14934, got 14934
Expected 14950, got 14950
Expected 14966, got 14966
Expected 14982, got 14982
Expected 14998, got 14998
Expected 15014, got 15014
Expected 15030, got 15030
Expected 15046, got 15046
Expected 15062, got 15062
Expected 15078, got 15078
Expected 15094, got 15094
Expected 15110, got 15110
Expected 15126, got 15126
Expected 15142, got 15142
Expected 15158, got 15158
Expected 15174, got 15174
Expected 15190, got 15190
Expected 15206, got 15206
Expected 15222, got 15222
Expected 15238, got 15238
Expected 15254, got 15254
Expected 15270, got 15270
Expected 15286, got 15286
Expected 15302, got 15302
Expected 15318, got 15318
Expected 15334, got 15334
Expected 15350, got 15350
Expected 15366, got 15366
Expected 15382, got 15382
Expected 15398, got 15398
Expected 15414, got 15414
Expected 15430, got 15430
Expected 15446, got 15446
Expected 15462, got 15462
Expected 15478, got 15478
Expected 15494, got 15494
Expected 15510, got 15510
Expected 15526, got 15526
Expected 15542, got 15542
Expected 15558, got 15558
Expected 15574, got 15574
Expected 15590, got 15590
Expected 15606, got 15606
Expected 15622, got 15622
Expected 15638, got 15638
Expected 15654, got 15654
Expected 15670, got 15670
Expected 15686, got 15686
Expected 15702, got 15702
Expected 15718, got 15718
Expected 15734, got 15734
Expected 15750, got 15750
Expected 15766, got 15766
Expected 15782, got 15782
Expected 15798, got 15798
Expected 15814, got 15814
Expected 15830, got 15830
Expected 15846, got 15846
Expected 15862, got 15862
Expected 15878, got 15878
Expected 15894, got 15894
Expected 15910, got 15910
Expected 15926, got 15926
Expected 15942, got 15942
Expected 15958, got 15958
Expected 15974, got 15974
Expected 15990, got 15990
INFO: [SIM 1] CSim done with 0 errors.
